id,firstName,lastName,middleName,gender,birthDate
"56","Аврелія","Потебенько","Орхипівна","female","Tue Mar 08 1994 00:41:52 GMT+0200 (Eastern European Standard Time)"
"57","Брячислав","Погиба","В’ячеславович","male","Fri Jul 07 1995 19:07:46 GMT+0300 (Eastern European Summer Time)"
"58","Ганна","Ланова","Звениславівна","female","Tue Nov 13 1984 23:35:23 GMT+0300 (Eastern European Standard Time)"
"59","Юхима","Осадко","Артемівна","female","Fri Nov 03 1989 09:55:33 GMT+0300 (Eastern European Standard Time)"
"60","Борислава","Шупик","Звениславівна","female","Mon May 24 1999 07:21:59 GMT+0300 (Eastern European Summer Time)"
"61","Адам","Дзюба","Дмитрович","male","Thu Jan 20 1977 19:18:49 GMT+0300 (Eastern European Standard Time)"
"62","Зореслав","Лучко","Васильович","male","Fri Dec 25 1998 01:16:21 GMT+0200 (Eastern European Standard Time)"
"63","Святослава","Москаль","Славутівна","female","Sat May 20 1995 13:58:36 GMT+0300 (Eastern European Summer Time)"
"64","Поляна","Павленко","Тимофіївна","female","Mon Feb 24 2003 04:21:29 GMT+0200 (Eastern European Standard Time)"
"65","Милослава","Гаман","Стефаніївна","female","Wed Sep 21 2005 08:33:54 GMT+0300 (Eastern European Summer Time)"
"66","Таїсія","Федоришина","Назарівна","female","Sun Aug 01 1999 00:25:52 GMT+0300 (Eastern European Summer Time)"
"67","Славомир","Ткаченко","Станіславович","male","Thu Jan 12 1984 13:16:42 GMT+0300 (Eastern European Standard Time)"
"68","Віра","Лобачевська","Артемівна","female","Mon Dec 13 2004 16:39:21 GMT+0200 (Eastern European Standard Time)"
"69","Людомила","Федоришина","Євгенівна","female","Tue Oct 05 2004 17:03:10 GMT+0300 (Eastern European Summer Time)"
"70","Костянтин","Дідух","Гнатович","male","Mon Oct 31 1988 12:51:43 GMT+0300 (Eastern European Standard Time)"
"71","Любислава","Довгалевська","Доброславівна","female","Tue Sep 16 1997 12:49:51 GMT+0300 (Eastern European Summer Time)"
"72","Марина","Зленко","Максимівна","female","Sat Sep 09 1989 18:21:08 GMT+0400 (Eastern European Summer Time)"
"73","Варвара","Балабуха","Гнатівна","female","Mon Mar 16 1987 16:43:22 GMT+0300 (Eastern European Standard Time)"
"74","Вікторія","Зінкевич","Добромирівна","female","Wed Sep 15 1965 03:03:54 GMT+0300 (Eastern European Standard Time)"
"75","Дана","Лучко","Вікторівна","female","Sun Dec 20 1964 06:35:35 GMT+0300 (Eastern European Standard Time)"
"76","Микита","Петлюра","Білославович","male","Mon Jan 11 1988 12:52:41 GMT+0300 (Eastern European Standard Time)"
"77","Таїсія","Глинська","Володимирівна","female","Thu Dec 20 1979 04:00:02 GMT+0300 (Eastern European Standard Time)"
"78","Доброслав","Ємець","Зиновійович","male","Mon Dec 22 1975 03:23:06 GMT+0300 (Eastern European Standard Time)"
"79","Мирослава","Стигайло","Даромирівна","female","Thu Apr 09 1998 23:14:22 GMT+0300 (Eastern European Summer Time)"
"80","Дарина","Гнатишина","Білославівна","female","Thu Oct 22 1987 11:18:32 GMT+0300 (Eastern European Standard Time)"
"81","Чорнота","Марків","Орестович","male","Tue Apr 09 2002 10:15:54 GMT+0300 (Eastern European Summer Time)"
"82","Аврора","Калач","Вадимівна","female","Sun Apr 25 2004 12:20:53 GMT+0300 (Eastern European Summer Time)"
"83","Болеслав","Іванів","Несторович","male","Mon Aug 15 1988 10:50:59 GMT+0400 (Eastern European Summer Time)"
"84","Маркіян","Пасічник","Олександрович","male","Sun Apr 26 1992 11:48:16 GMT+0300 (Eastern European Summer Time)"
"85","Юрій","Гарай","Гнатович","male","Tue Jan 28 1986 14:05:46 GMT+0300 (Eastern European Standard Time)"
"86","Мар’ян","Дмитрук","Златомирович","male","Mon Sep 13 1976 14:53:48 GMT+0300 (Eastern European Standard Time)"
"87","Милослава","Цушко","Василівна","female","Mon Apr 17 1989 10:59:16 GMT+0400 (Eastern European Summer Time)"
"88","Яромил","Хитрово","Мечиславович","male","Mon Mar 08 1993 19:19:38 GMT+0200 (Eastern European Standard Time)"
"89","Юліан","Хитрово","Радимирович","male","Sat Feb 27 1965 23:54:05 GMT+0300 (Eastern European Standard Time)"
"90","Боримир","Луцький","Захарович","male","Sun Jun 06 2004 17:30:37 GMT+0300 (Eastern European Summer Time)"
"91","Зорина","Брицька","Тимофіївна","female","Sat Nov 19 2005 01:07:00 GMT+0200 (Eastern European Standard Time)"
"92","Антоній","Горбач","Мирославович","male","Sat Aug 28 1971 23:37:26 GMT+0300 (Eastern European Standard Time)"
"93","Діяна","Зварич","Петрівна","female","Sun Jul 27 2003 22:02:10 GMT+0300 (Eastern European Summer Time)"
"94","Ангеліна","Бачей","Охрімівна","female","Tue Jan 19 1999 16:37:04 GMT+0200 (Eastern European Standard Time)"
"95","Злат","Лобачевський","Корнелійович","male","Fri Dec 30 1994 04:57:46 GMT+0200 (Eastern European Standard Time)"
"96","Ізяслав","Романишин","Михайлович","male","Mon Aug 25 1969 18:36:11 GMT+0300 (Eastern European Standard Time)"
"97","Добринка","Поліщук","Звениславівна","female","Fri Apr 08 1977 14:22:19 GMT+0300 (Eastern European Standard Time)"
"98","Орися","Павлів","Корнеліївна","female","Mon Aug 27 1979 09:41:22 GMT+0300 (Eastern European Standard Time)"
"99","Яромил","Унич","Анатолійович","male","Tue Apr 03 1973 16:52:31 GMT+0300 (Eastern European Standard Time)"
"100","Юлія","Коцюбинська","Валентинівна","female","Tue May 02 1995 20:53:05 GMT+0300 (Eastern European Summer Time)"
"101","Братислав","Сідляк","Орхипович","male","Fri Mar 03 2006 21:55:26 GMT+0200 (Eastern European Standard Time)"
"102","Любомила","Ялюк","Адамівна","female","Sun Feb 22 1981 19:04:21 GMT+0300 (Eastern European Standard Time)"
"103","Соломія","Ющук","Тихонівна","female","Thu May 06 1982 09:11:04 GMT+0400 (Eastern European Summer Time)"
"104","Дмитро","Федоришин","Гаврилович","male","Tue Apr 28 1992 22:08:23 GMT+0300 (Eastern European Summer Time)"
"105","Андрій","Свидригайло","Денисович","male","Thu Jan 11 1979 04:59:08 GMT+0300 (Eastern European Standard Time)"
"106","Купава","Яцьків","Родіонівна","female","Thu Oct 01 1970 13:18:03 GMT+0300 (Eastern European Standard Time)"
"107","Ростислав","Петик","Любомирович","male","Tue May 26 1992 10:43:31 GMT+0300 (Eastern European Summer Time)"
"108","Божен","Потебенько","Вікторович","male","Fri Aug 02 1974 03:31:42 GMT+0300 (Eastern European Standard Time)"
"109","Любозар","Романів","Віталійович","male","Tue May 13 1980 09:11:21 GMT+0300 (Eastern European Standard Time)"
"110","Анжела","Трясун","Братиславівна","female","Sun Apr 12 1970 04:03:34 GMT+0300 (Eastern European Standard Time)"
"111","Ликера","Троян","Антонівна","female","Tue Dec 25 1984 13:31:26 GMT+0300 (Eastern European Standard Time)"
"112","Денис","Мамій","Олелькович","male","Tue Sep 18 1990 15:00:16 GMT+0300 (Eastern European Summer Time)"
"113","Маркіян","Сушко","Ізяславович","male","Fri Aug 23 2002 22:21:52 GMT+0300 (Eastern European Summer Time)"
"114","Ольга","Петик","Братиславівна","female","Fri Apr 08 1977 19:59:10 GMT+0300 (Eastern European Standard Time)"
"115","Майя","Головець","Миколаївна","female","Fri Nov 11 1977 19:30:54 GMT+0300 (Eastern European Standard Time)"
"116","Юліанна","Семещук","Максимівна","female","Mon Sep 12 2005 23:45:41 GMT+0300 (Eastern European Summer Time)"
"117","Любислава","Євенко","Пантелеймонівна","female","Sun Jun 27 1982 09:16:33 GMT+0400 (Eastern European Summer Time)"
"118","Радим","Башук","Аскольдович","male","Wed Apr 28 2004 13:50:07 GMT+0300 (Eastern European Summer Time)"
"119","Харитина","Гриневська","Тимофіївна","female","Sun May 06 1979 16:53:38 GMT+0300 (Eastern European Standard Time)"
"120","Ігор","Тарасюк","Радимирович","male","Sun Aug 28 1977 23:58:56 GMT+0300 (Eastern European Standard Time)"
"121","Аполлінарія","Брицька","Гаврилівна","female","Wed Jan 09 2002 15:42:19 GMT+0200 (Eastern European Standard Time)"
"122","Назарій","Павленко","Гордійович","male","Sat Aug 07 1993 15:05:23 GMT+0300 (Eastern European Summer Time)"
"123","Валерія","Вітряк","Ігорівна","female","Fri Aug 11 1995 15:11:10 GMT+0300 (Eastern European Summer Time)"
"124","Звенимир","Щербак","Арсенійович","male","Sat May 27 1967 17:28:11 GMT+0300 (Eastern European Standard Time)"
"125","Любомира","Федоришина","Костянтинівна","female","Mon Jul 14 1997 21:47:45 GMT+0300 (Eastern European Summer Time)"
"126","Лаврентій","Петришин","Гаврилович","male","Mon May 26 1975 11:52:12 GMT+0300 (Eastern European Standard Time)"
"127","Вілена","Лящук","Романівна","female","Sun Sep 17 2006 09:51:15 GMT+0300 (Eastern European Summer Time)"
"128","Клавдія","Сірко","Іванівна","female","Tue Feb 22 1966 06:44:11 GMT+0300 (Eastern European Standard Time)"
"129","Купава","Коваленко","Арсенівна","female","Tue Dec 17 1968 01:35:39 GMT+0300 (Eastern European Standard Time)"
"130","Назарій","Демків","Іванович","male","Thu May 06 1982 14:26:02 GMT+0400 (Eastern European Summer Time)"
"131","Віолетта","Гречко","Тихонівна","female","Sun Oct 29 2000 08:15:38 GMT+0200 (Eastern European Standard Time)"
"132","Зоряна","Маковецька","Юхимівна","female","Mon Jun 02 1969 02:59:57 GMT+0300 (Eastern European Standard Time)"
"133","Григорій","Москалюк","Зореславович","male","Thu Jun 28 1979 03:50:59 GMT+0300 (Eastern European Standard Time)"
"134","Хорив","Павлишин","Вікторович","male","Sun Mar 03 1985 16:34:40 GMT+0300 (Eastern European Standard Time)"
"135","Ярополк","Червоній","Ізяславович","male","Mon Nov 13 1972 20:04:26 GMT+0300 (Eastern European Standard Time)"
"136","Білослава","Кордун","Костянтинівна","female","Thu Feb 04 1993 18:51:07 GMT+0200 (Eastern European Standard Time)"
"137","Благовіста","Коман","Бориславівна","female","Thu Nov 25 1993 10:28:00 GMT+0200 (Eastern European Standard Time)"
"138","Архип","Малкович","Ярославович","male","Tue Jul 12 2005 15:46:21 GMT+0300 (Eastern European Summer Time)"
"139","Григорій","Калач","Валентинович","male","Thu Oct 14 1971 14:02:43 GMT+0300 (Eastern European Standard Time)"
"140","Георгій","Дзюба","Остапович","male","Thu Jul 27 1972 07:32:37 GMT+0300 (Eastern European Standard Time)"
"141","Яровид","Єрмак","Віталійович","male","Sat Nov 09 1991 09:03:30 GMT+0200 (Eastern European Standard Time)"
"142","Аркадій","Линдик","Бориславович","male","Fri Feb 21 1969 01:54:45 GMT+0300 (Eastern European Standard Time)"
"143","Валентин","Григоришин","Радимирович","male","Mon Feb 26 2001 04:22:31 GMT+0200 (Eastern European Standard Time)"
"144","Степан","Ломовий","Вадимович","male","Fri Mar 29 1996 23:19:01 GMT+0200 (Eastern European Standard Time)"
"145","Жозефіна","Ємець","Звениславівна","female","Fri Oct 18 1991 09:23:18 GMT+0200 (Eastern European Standard Time)"
"146","Зоремир","Троян","Аскольдович","male","Mon Mar 26 1990 02:42:53 GMT+0400 (Eastern European Summer Time)"
"147","Ігор","Гриневський","Тарасович","male","Thu Jan 19 1995 13:46:20 GMT+0200 (Eastern European Standard Time)"
"148","Славута","Данилишин","Гордійович","male","Tue Jun 30 1992 10:18:18 GMT+0300 (Eastern European Summer Time)"
"149","Аполлінарія","Ногачевська","Братиславівна","female","Sat Sep 22 2001 03:44:01 GMT+0300 (Eastern European Summer Time)"
"150","Маркіян","Потебенько","Лаврентійович","male","Fri Oct 27 1972 08:43:24 GMT+0300 (Eastern European Standard Time)"
"151","Маркіян","Ликович","Корнелійович","male","Mon Jul 30 2007 05:36:11 GMT+0300 (Eastern European Summer Time)"
"152","Сніжана","Григоришина","Романівна","female","Thu Sep 09 2004 19:43:40 GMT+0300 (Eastern European Summer Time)"
"153","Листвич","Бутько","Захарович","male","Thu Oct 26 2006 21:05:34 GMT+0300 (Eastern European Summer Time)"
"154","Артем","Лютий","Любомирович","male","Tue Aug 14 1984 03:14:14 GMT+0400 (Eastern European Summer Time)"
"155","Катерина","Корецька","Антонівна","female","Fri Apr 26 1974 23:47:20 GMT+0300 (Eastern European Standard Time)"
"156","Доброслава","Унич","Тимофіївна","female","Sun May 07 1972 20:47:15 GMT+0300 (Eastern European Standard Time)"
"157","Ірина","Поривай","Боженівна","female","Wed Jun 18 1969 12:06:06 GMT+0300 (Eastern European Standard Time)"
"158","Віталіна","Степанець","Гаврилівна","female","Mon Dec 11 2006 22:01:22 GMT+0200 (Eastern European Standard Time)"
"159","Маркіян","Корнїйчук","Валерійович","male","Sun Aug 31 1997 19:59:49 GMT+0300 (Eastern European Summer Time)"
"160","Орхип","Силецький","Іванович","male","Fri Sep 01 1995 19:54:42 GMT+0300 (Eastern European Summer Time)"
"161","Зоя","Пономарів","Степанівна","female","Sat Mar 29 1980 16:40:58 GMT+0300 (Eastern European Standard Time)"
"162","Августин","Гречко","Вадимович","male","Sun Apr 28 1985 22:55:12 GMT+0400 (Eastern European Summer Time)"
"163","Мстислав","Калач","Гаврилович","male","Thu Sep 27 2007 11:58:38 GMT+0300 (Eastern European Summer Time)"
"164","Мечислава","Унич","Маркіянівна","female","Tue Jan 28 1969 23:41:22 GMT+0300 (Eastern European Standard Time)"
"165","Боримисл","Дзюб’як","Лаврентійович","male","Wed Aug 09 1989 10:31:28 GMT+0400 (Eastern European Summer Time)"
"166","Славолюб","Марків","Мстиславович","male","Mon Jan 06 1992 06:27:41 GMT+0200 (Eastern European Standard Time)"
"167","Юліан","Гришко","Збориславович","male","Fri May 15 1998 17:09:22 GMT+0300 (Eastern European Summer Time)"
"168","Антонія","Барановська","Златомирівна","female","Sat Jan 21 1995 03:48:25 GMT+0200 (Eastern European Standard Time)"
"169","Яромил","Гладківський","Ярославович","male","Wed Sep 01 1965 04:40:33 GMT+0300 (Eastern European Standard Time)"
"170","Святослав","Бутько","Гордійович","male","Sun Apr 06 1975 13:41:55 GMT+0300 (Eastern European Standard Time)"
"171","Долеслава","Брицька","Романівна","female","Thu Feb 01 1973 21:03:13 GMT+0300 (Eastern European Standard Time)"
"172","Білослава","Тарасюк","Боримирівна","female","Mon May 29 1967 13:37:59 GMT+0300 (Eastern European Standard Time)"
"173","Віктор","Семеночко","Олегович","male","Tue Jul 02 1968 03:40:08 GMT+0300 (Eastern European Standard Time)"
"174","Орися","Кулинич","Олельківна","female","Fri Nov 07 2003 05:08:36 GMT+0200 (Eastern European Standard Time)"
"175","Раїса","Кононець","Вікторівна","female","Sat May 29 1971 00:21:35 GMT+0300 (Eastern European Standard Time)"
"176","Дарій","Васильківський","Валентинович","male","Sat Oct 21 2000 20:53:57 GMT+0300 (Eastern European Summer Time)"
"177","Болеслава","Данилко","Валеріївна","female","Fri Sep 10 1993 22:43:34 GMT+0300 (Eastern European Summer Time)"
"178","Майя","Маринич","Білославівна","female","Tue Jun 29 1999 10:44:44 GMT+0300 (Eastern European Summer Time)"
"179","Надія","Сторчак","Матвіївна","female","Tue Jan 20 1976 01:17:12 GMT+0300 (Eastern European Standard Time)"
"180","Юхимія","Мазило","Зореславівна","female","Sat Jan 31 1987 05:14:39 GMT+0300 (Eastern European Standard Time)"
"181","Аполлінарія","Бердник","Дмитрівна","female","Wed Sep 19 1973 01:11:01 GMT+0300 (Eastern European Standard Time)"
"182","Ладо","Петик","Вікторович","male","Fri Oct 05 2007 10:30:30 GMT+0300 (Eastern European Summer Time)"
"183","Аполлінарія","Шевченко","Болеславівна","female","Thu Sep 02 1971 11:20:57 GMT+0300 (Eastern European Standard Time)"
"184","Феодосія","Паламарчук","Остапівна","female","Wed Nov 23 1983 17:45:28 GMT+0300 (Eastern European Standard Time)"
"185","Болеслав","Ковальський","Альбертович","male","Wed Oct 07 1981 19:08:22 GMT+0300 (Eastern European Standard Time)"
"186","Інна","Вередун","Звенимирівна","female","Wed Sep 06 1989 08:58:11 GMT+0400 (Eastern European Summer Time)"
"187","Любов","Кордун","Вадимівна","female","Sat Mar 15 1997 04:53:50 GMT+0200 (Eastern European Standard Time)"
"188","Сюзана","Вередун","Георгіївна","female","Mon Aug 29 1966 05:00:27 GMT+0300 (Eastern European Standard Time)"
"189","Мальва","Сідлецька","Орхипівна","female","Thu Jun 30 1994 13:10:04 GMT+0300 (Eastern European Summer Time)"
"190","Гліб","Павлів","Валерійович","male","Thu Dec 29 1966 16:36:18 GMT+0300 (Eastern European Standard Time)"
"191","Оріяна","Сплюха","Володимирівна","female","Mon Feb 20 1989 15:48:16 GMT+0300 (Eastern European Standard Time)"
"192","Агапія","Ялова","Захарівна","female","Sat Aug 24 1974 14:01:46 GMT+0300 (Eastern European Standard Time)"
"193","Руслан","Поривайло","Арсенійович","male","Wed Sep 16 1981 18:36:12 GMT+0400 (Eastern European Summer Time)"
"194","Григорій","Лютий","Юхимович","male","Tue Jan 26 1971 14:11:20 GMT+0300 (Eastern European Standard Time)"
"195","Діана","Корецька","Богданівна","female","Mon Apr 03 2006 14:58:11 GMT+0300 (Eastern European Summer Time)"
"196","Віргінія","Луцька","Даромирівна","female","Tue Aug 19 1986 11:27:06 GMT+0400 (Eastern European Summer Time)"
"197","Славомир","Бердник","Гордійович","male","Wed Oct 07 1970 08:48:53 GMT+0300 (Eastern European Standard Time)"
"198","Микита","Бабух","Іванович","male","Thu Nov 02 1972 08:07:38 GMT+0300 (Eastern European Standard Time)"
"199","Корнилій","Павленко","Борисович","male","Wed Oct 16 1985 13:23:55 GMT+0300 (Eastern European Standard Time)"
"200","Костянтин","Мотрієнко","Миколайович","male","Thu Mar 25 2004 11:47:03 GMT+0200 (Eastern European Standard Time)"
"201","Богуслава","Міняйло","Степанівна","female","Sun Oct 02 1994 05:03:44 GMT+0200 (Eastern European Standard Time)"
"202","Ладомир","Гайчук","Маркіянович","male","Fri Apr 23 1976 02:11:59 GMT+0300 (Eastern European Standard Time)"
"203","Анна","Горбач","Гаврилівна","female","Thu Nov 19 1981 16:46:12 GMT+0300 (Eastern European Standard Time)"
"204","Радміла","Гладківська","Божемирівна","female","Sun May 14 1967 01:15:48 GMT+0300 (Eastern European Standard Time)"
"205","Алевтин","Довгалевський","Іванович","male","Tue Dec 21 1993 16:56:01 GMT+0200 (Eastern European Standard Time)"
"206","Вілена","Ромочко","Бориславівна","female","Sat Sep 19 1987 02:15:00 GMT+0400 (Eastern European Summer Time)"
"207","Аделіна","Лучко","Олельківна","female","Thu May 21 1998 08:13:04 GMT+0300 (Eastern European Summer Time)"
"208","Аделіна","Демчишина","Несторівна","female","Mon Dec 18 1989 17:24:06 GMT+0300 (Eastern European Standard Time)"
"209","Зореслав","Малкович","Остапович","male","Sun Aug 04 1996 19:06:03 GMT+0300 (Eastern European Summer Time)"
"210","Горислав","Петик","Гаврилович","male","Sun Mar 19 1989 16:26:02 GMT+0300 (Eastern European Standard Time)"
"211","Любомила","Данилишина","Стефаніївна","female","Sun Nov 16 1969 07:44:56 GMT+0300 (Eastern European Standard Time)"
"212","Маркіян","Коломієць","Всеволодович","male","Mon Sep 04 1972 21:28:37 GMT+0300 (Eastern European Standard Time)"
"213","Юліан","Сучак","Устимович","male","Tue Aug 27 2002 10:24:20 GMT+0300 (Eastern European Summer Time)"
"214","Денис","Боярчук","Маркович","male","Mon Mar 10 1969 01:30:36 GMT+0300 (Eastern European Standard Time)"
"215","Влада","Пасічник","Натанівна","female","Thu Jun 11 1998 00:06:51 GMT+0300 (Eastern European Summer Time)"
"216","Яна","Розпутня","Борисівна","female","Tue Aug 22 1972 03:22:23 GMT+0300 (Eastern European Standard Time)"
"217","Мстислав","Палій","Зиновійович","male","Sun Mar 20 1988 03:41:38 GMT+0300 (Eastern European Standard Time)"
"218","Любозар","Вергун","Несторович","male","Sun Jul 10 1966 17:48:13 GMT+0300 (Eastern European Standard Time)"
"219","Макар","Бурмило","Павлович","male","Fri Oct 29 1971 01:42:01 GMT+0300 (Eastern European Standard Time)"
"220","Радослава","Свидригайло","Боримирівна","female","Mon Mar 10 1969 08:33:53 GMT+0300 (Eastern European Standard Time)"
"221","Антін","Трублаєвський","Боженович","male","Wed Jan 05 1983 15:04:27 GMT+0300 (Eastern European Standard Time)"
"222","Омелян","Боровський","Любомирович","male","Thu Apr 01 2004 15:21:11 GMT+0300 (Eastern European Summer Time)"
"223","Братослав","Башук","Зореславович","male","Mon Apr 08 1968 12:00:00 GMT+0300 (Eastern European Standard Time)"
"224","Милослава","Василишина","Звенимирівна","female","Tue Dec 07 1965 22:22:03 GMT+0300 (Eastern European Standard Time)"
"225","Юліанна","Андрухович","Борисівна","female","Sun Nov 26 1978 01:43:07 GMT+0300 (Eastern European Standard Time)"
"226","Аврелій","Янюк","Захарійович","male","Sat May 15 2004 12:53:57 GMT+0300 (Eastern European Summer Time)"
"227","Вадим","Михайлюк","Олексійович","male","Fri Aug 16 1991 08:22:50 GMT+0300 (Eastern European Summer Time)"
"228","Ярополк","Боярчук","Ігорович","male","Fri Jan 27 1995 21:07:39 GMT+0200 (Eastern European Standard Time)"
